X,Y,FID,OBJECTID,CITY_NAME,GMI_ADMIN,ADMIN_NAME,FIPS_CNTRY,CNTRY_NAME,STATUS,POP,POP_RANK,POP_CLASS,PORT_ID,LABEL_FLAG,POP_SOURCE,CITY_NAME2,POP_updated,POP_updated_year,POP_SOURCE_updated,comments
-6265506.398,-4101273.635,113,113,Canelones,URY-CNL,Canelones,UY,Uruguay,Provincial capital,0,0, ,0,1, ,Canelones,603700,2020,citypopulation.de,department population
-7156507.264,-4387381.142,114,114,Santa Rosa,ARG-LPA,La Pampa,AR,Argentina,Provincial capital,127683,5,"100,000 to 249,999",0,0,UN_Data_2010_2020,Santa Rosa,102860,2010,citypopulation.de,
-6932316.606,-4682395.192,115,115,Bahia Blanca,ARG-BAI,Buenos Aires,AR,Argentina,Other,314539,4,"250,000 to 499,999",13815,0,UN_Data_2010_2020,Bahia Blanca,291327,2010,citypopulation.de,
-7012574.852,-4985096.342,116,116,Viedma,ARG-RNE,Rio Negro,AR,Argentina,Provincial capital,0,0, ,0,0, ,Viedma,52789,2010,citypopulation.de,
-7246898.471,-5357746.812,117,117,Rawson,ARG-CHB,Chubut,AR,Argentina,Provincial capital,145647,5,"100,000 to 249,999",0,0,UN_Data_2010_2020,Rawson,24616,2010,citypopulation.de,
-6506605.724,-4112697.466,118,118,Buenos Aires,ARG-DFD,Distrito Federal,AR,Argentina,National and provincial capital,15416728,1,"5,000,000 and greater",13760,1,UN_Data_2010_2020,Buenos Aires,3121707,2022,citypopulation.de,
-7269274.362,-2777554.266,119,119,San Salvador De Jujuy,ARG-JUJ,Jujuy,AR,Argentina,Provincial capital,346920,4,"250,000 to 499,999",0,0,UN_Data_2010_2020,San Salvador De Jujuy,257970,2010,citypopulation.de,
-7281185.667,-2849849.823,120,120,Salta,ARG-SAL,Salta,AR,Argentina,Provincial capital,636406,3,"500,000 to 999,999",0,1,UN_Data_2010_2020,Salta,520683,2010,citypopulation.de,
-7259589.229,-3102123.762,121,121,San Miguel De Tucuman,ARG-TCM,Tucuman,AR,Argentina,Provincial capital,900677,3,"500,000 to 999,999",0,0,UN_Data_2010_2020,San Miguel De Tucuman,548866,2010,citypopulation.de,
-7154392.322,-3222523.56,122,122,Santiago Del Estero,ARG-SDE,Santiago del Estero,AR,Argentina,Provincial capital,402436,4,"250,000 to 499,999",0,0,UN_Data_2010_2020,Santiago Del Estero,1060906,2022,citypopulation.de,province
-7322707.377,-3307853.909,123,123,Catamarca,ARG-CTM,Catamarca,AR,Argentina,Provincial capital,222984,5,"100,000 to 249,999",0,1,UN_Data_2010_2020,Catamarca,429562,2022,citypopulation.de,province
-7442264.182,-3428317.298,124,124,La Rioja,ARG-LRI,La Rioja,AR,Argentina,Provincial capital,222155,5,"100,000 to 249,999",0,1,UN_Data_2010_2020,La Rioja,383865,2022,citypopulation.de,province
-7144484.766,-3673856.628,125,125,Cordoba,ARG-CRD,Cordoba,AR,Argentina,Provincial capital,1563702,2,"1,000,000 to 4,999,999",0,1,UN_Data_2010_2020,Cordoba,1317298,2010,citypopulation.de,
-7385825.543,-3937323.455,126,126,San Luis,ARG-SLU,San Luis,AR,Argentina,Provincial capital,235975,5,"100,000 to 249,999",0,1,UN_Data_2010_2020,San Luis,12287,2010,citypopulation.de,
-6360795.769,-2923354.471,127,127,Caacupe,PRY-CRD,Cordillera,PA,Paraguay,Provincial capital,0,0, ,0,0, ,Caacupe,30534,2022,citypopulation.de,
-6281536.413,-2931488.743,128,128,Coronel Oviedo,PRY-CAA,Caaguazu,PA,Paraguay,Provincial capital,0,0, ,0,0, ,Coronel Oviedo,98323,2022,citypopulation.de,
-6362020.065,-2952585.649,129,129,Paraguari,PRY-PRG,Paraguari,PA,Paraguay,Provincial capital,0,0, ,0,1, ,Paraguari,12987,2022,citypopulation.de,
-6284096.199,-2972353.049,130,130,Villarrica,PRY-GUA,Guaira,PA,Paraguay,Provincial capital,0,0, ,0,0, ,Villarrica,44829,2022,citypopulation.de,
-6476233.864,-3021763.743,131,131,Formosa,ARG-FRM,Formosa,AR,Argentina,Provincial capital,252791,4,"250,000 to 499,999",13340,1,UN_Data_2010_2020,Formosa,222226,2010,citypopulation.de,
-6489480.658,-3106989.37,132,132,Pilar,PRY-NMB,Neembucu,PA,Paraguay,Provincial capital,0,0, ,0,0, ,Pilar,31399,2022,citypopulation.de,
-6566402.65,-3180685.048,133,133,Resistencia,ARG-CHA,Chaco,AR,Argentina,Provincial capital,414226,4,"250,000 to 499,999",13380,0,UN_Data_2010_2020,Resistencia,290723,2010,citypopulation.de,
-6547589.432,-3184448.71,134,134,Corrientes,ARG-CRR,Corrientes,AR,Argentina,Provincial capital,379978,4,"250,000 to 499,999",13370,1,UN_Data_2010_2020,Corrientes,346334,2010,citypopulation.de,
-6376714.573,-2925695.683,135,135,Ypacarai,PRY-CNT,Central,PA,Paraguay,Provincial capital,0,0, ,0,0, ,Ypacarai,10524,2010,citypopulation.de,
-6274856.904,-3023872.835,136,136,Caazapa,PRY-CAZ,Caazapa,PA,Paraguay,Provincial capital,0,0, ,0,1, ,Caazapa,7176,2010,citypopulation.de,
-6361575.24,-3082676.85,137,137,San Juan Bautista,PRY-MSN,Misiones,PA,Paraguay,Provincial capital,0,0, ,0,0, ,San Juan Bautista,12039,2022,citypopulation.de,
-6452411.273,-3684284.264,138,138,Salto,URY-SAL,Salto,UY,Uruguay,Provincial capital,0,0, ,13180,1, ,Salto,104011,2011,citypopulation.de,
-6465435.645,-3806969.59,139,139,Paysandu,URY-PYS,Paysandu,UY,Uruguay,Provincial capital,0,0, ,13170,1, ,Paysandu,76412,2011,citypopulation.de,
-6490371.322,-3913768.329,140,140,Fray Bentos,URY-RNE,Rio Negro,UY,Uruguay,Provincial capital,0,0, ,13160,0, ,Fray Bentos,24406,2011,citypopulation.de,
-6458200.1,-3932262.748,141,141,Mercedes,URY-SOR,Soriano,UY,Uruguay,Provincial capital,0,0, ,0,0, ,Mercedes,41974,2011,citypopulation.de,
-6290664.497,-3950785.448,142,142,Durazno,URY-DRZ,Durazno,UY,Uruguay,Provincial capital,0,0, ,0,1, ,Durazno,34368,2011,citypopulation.de,
