CITY_NAME,FIPS_CNTRY,POP_updated,POP_updated_year,POP_SOURCE_updated,city_type,comments,coder,match
,SC,,,,,all are coastal,hb,1
,SE,,,,,All cities in Seychelles are coastal.,vj,1
,SE,,,,,all are coastal,hb,1
Koper,SI,25913.0,2022.0,https://www.citypopulation.de/en/slovenia/cities/,Coastal,,llt,1
Koper,SI,25913.0,2022.0,CityPopulation.de,coastal,Slovenia,vj,1
,SM,,,,,Country is too small with less than 1 sqkm lake,llt,1
,SM,,,,,Lago di Faetano - 0.0036 km2,hb,1
,SN,,,,,"where to measure - Bishan, Tanglin, Tengah",hb,1
,SN,,,,,Singapore is a city state.,vj,1
L'Abbayée,ST,1355.0,2022.0,CityPopulation.de,inland,St. Lucia,vj,1
L'Abbayée,ST,1355,2022.0,cp,inland,all are coastal,hb,1
Geneva,SZ,206635.0,2023.0,https://www.citypopulation.de/en/switzerland/cities/,Inland,,llt,0
Lausanne,SZ,144160,2023.0,CP,inland,,hb,0
Arima,TD,33606,2011.0,cp,inland,,hb,1
Arima,TD,33606.0,2011.0,CityPopulation.de,inland,Trinidad & Tobago,vj,1
Konibodom,TI,54400,2022.0,CP,inland,"red. if not then Guliston, 16700, 2022",hb,1
Konibodom,TI,54400.0,2022.0,https://www.citypopulation.de/en/tajikistan/cities/,Inland,Khujand is bigger but further away from the reservoir/ Guliston is right next to the reservoir but less POP,llt,1
,TN,,,,,all are coastal,hb,1
,TN,,,,,Tonga is too small to have inland cities.,vj,1
Trindade,TP,6685,2012.0,cp,inland,all are coastal,hb,1
Trindade,TP,6685.0,2012.0,CityPopulation.de,inland,Sao Tome & Principe,vj,1
Maliana,TT,13078.0,2022.0,CityPopulation.de,inland,East Timor,vj,1
Maliana,TT,13078.0,2022.0,https://www.citypopulation.de/en/timor/cities/,Inland,Pop number @ urban level/ Will be Ermera if we take municipality level,llt,1
,TV,,,,,Tuvalu,vj,1
,TV,,,,,all are coastal,hb,1
Turkmenbashi ,TX,86800.0,2004.0,https://www.citypopulation.de/en/turkmenistan/,Inland,,llt,0
Türkmenbaşy,TX,63000,1995.0,CP,inland ,,hb,0
Mbarara,UG,221300.0,2020.0,https://www.citypopulation.de/en/uganda/cities/,Inland,,llt,1
Mbarara,UG,221300,2020.0,CP,inland,,hb,1
Odesa,UP,1010537.0,2022.0,CityPopulation.de,coastal,Ukraine,vj,1
Odesa,UP,1010537.0,2022.0,https://www.citypopulation.de/en/ukraine/cities/?cityid=11002,Coastal,,llt,1
Kongoussi ,UV,53627.0,2019.0,https://www.citypopulation.de/en/burkinafaso/cities/,Inland,,llt,0
,UV,,,,,,hb,0
,UZ,,,,,,hb,0
Kattakurgan,UZ,93423.0,2023.0,https://www.citypopulation.de/en/uzbekistan/cities/,Inland,"There are bigger lakes, but no cities around.",llt,0
,VC,,,,,all are coastal,hb,1
,VC,,,,,St. Vincent & the Grenadines,vj,1
,WS,,,,,Samoa,vj,1
,WS,,,,,could not find it. Aleisa Sasa'e in Tuamasaga,hb,1
,WZ,,,,,,llt,1
,WZ,,,,,,hb,1
Siavonga,ZA,"26,951",2022.0,CP,inland,,hb,0
Sinazongwe,ZA,15191.0,2022.0,https://www.citypopulation.de/en/zambia/cities/,Inland,Additional:https://zambia.opendataforafrica.org/ZMPHC2015/population-and-demographic-projections-2011-2035,llt,0
Kariba,ZI,27450.0,2022.0,https://www.citypopulation.de/en/zimbabwe/cities/,Inland,Additional: https://zimbabwe.opendataforafrica.org/fujalme/population-distribution-by-district-and-wards,llt,1
Kariba,ZI,"27,450",2022.0,CP,inland,,hb,1
